date,species,plot,sex,weight,device_remark,scientific_name
2013-07-16,DM,2,F,NA,NA,"Dimarella riparia (Nav<U+00E1>s, 1918)"
2013-07-16,DM,7,M,33,NA,"Dimarella riparia (Nav<U+00E1>s, 1918)"
2013-07-16,DM,3,M,NA,NA,"Dimarella riparia (Nav<U+00E1>s, 1918)"
2013-07-16,DM,1,M,NA,NA,"Dimarella riparia (Nav<U+00E1>s, 1918)"
2013-07-18,DM,3,M,40,NA,"Dimarella riparia (Nav<U+00E1>s, 1918)"
2013-07-18,DM,7,M,48,NA,"Dimarella riparia (Nav<U+00E1>s, 1918)"
2013-07-18,DM,4,F,29,NA,"Dimarella riparia (Nav<U+00E1>s, 1918)"
2013-07-18,DM,4,F,46,NA,"Dimarella riparia (Nav<U+00E1>s, 1918)"
2013-07-18,DM,7,M,36,NA,"Dimarella riparia (Nav<U+00E1>s, 1918)"
2013-07-18,DM,7,F,35,NA,"Dimarella riparia (Nav<U+00E1>s, 1918)"
2013-07-18,DM,8,F,22,NA,"Dimarella riparia (Nav<U+00E1>s, 1918)"
2013-07-18,DM,7,F,42,NA,"Dimarella riparia (Nav<U+00E1>s, 1918)"
2013-07-18,DM,4,F,41,NA,"Dimarella riparia (Nav<U+00E1>s, 1918)"
2013-07-18,DM,6,F,37,NA,"Dimarella riparia (Nav<U+00E1>s, 1918)"
2013-08-19,DO,8,F,52,NA,"Dondice occidentalis (Engel, 1925)"
2013-10-17,DO,3,F,33,NA,"Dondice occidentalis (Engel, 1925)"
2013-10-17,DO,3,F,50,NA,"Dondice occidentalis (Engel, 1925)"
2013-10-17,DO,17,F,48,NA,"Dondice occidentalis (Engel, 1925)"
2013-10-17,DO,17,F,31,NA,"Dondice occidentalis (Engel, 1925)"
2013-10-18,DO,8,F,41,NA,"Dondice occidentalis (Engel, 1925)"
2013-11-12,DO,1,F,44,NA,"Dondice occidentalis (Engel, 1925)"
2013-11-12,DO,1,M,48,NA,"Dondice occidentalis (Engel, 1925)"
2013-11-12,DS,9,F,117,NA,"Distonemurus desertus Krivokhatsky, 1992"
2013-11-12,DS,1,F,121,NA,"Distonemurus desertus Krivokhatsky, 1992"
2013-11-12,DS,20,M,115,NA,"Distonemurus desertus Krivokhatsky, 1992"
2013-11-12,DS,9,F,120,NA,"Distonemurus desertus Krivokhatsky, 1992"
2013-11-13,DS,17,F,118,NA,"Distonemurus desertus Krivokhatsky, 1992"
2013-11-13,DS,11,F,126,NA,"Distonemurus desertus Krivokhatsky, 1992"
2013-11-13,DS,17,M,132,scale not calibrated,"Distonemurus desertus Krivokhatsky, 1992"
2013-11-13,DS,14,F,113,scale not calibrated,"Distonemurus desertus Krivokhatsky, 1992"
